TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	O3_max	SEASON
d	d	c	c	c	c	d	d
						class
7	2	-13.34375	88.3125	0.16875	0	LOW	WINTER
7	2	-6.38181818181818	76.1515151515152	0.193877551020408	0	MODERATE	WINTER
9	3	-16.98	79.8666666666667	0.369565217391304	0	MODERATE	WINTER
1	3	-9.6125	69.53125	0.172916666666667	0	MODERATE	WINTER
9	2	-11.2217391304348	83.6521739130435	0.183333333333333	0	MODERATE	WINTER
5	2	-6.27083333333333	68.75	0.152083333333333	0	MODERATE	WINTER
5	1	-6.0375	77.2916666666667	0.133333333333333	0	MODERATE	WINTER
9	1	-5.12708333333333	77.5625	0.159183673469388	0.1	MODERATE	WINTER
5	3	-3.72444444444444	81.9777777777778	0.156521739130435	0	MODERATE	WINTER
5	3	-6.00816326530612	89.3061224489796	0.0864864864864865	4.8	LOW	WINTER
5	3	-5.50204081632653	88.4489795918367	0.161224489795918	1.1	LOW	WINTER
5	3	-5.62978723404255	90.5106382978723	0.152083333333333	1.5	LOW	WINTER
5	3	-3.77755102040816	91.0204081632653	0.122448979591837	0	LOW	WINTER
5	1	-1.64081632653061	89.5102040816327	0.148979591836735	0	MODERATE	WINTER
5	5	1.47291666666667	82.1666666666667	0.759183673469388	0	MODERATE	WINTER
5	5	5.40408163265306	72.8979591836735	2.1469387755102	0	MODERATE	WINTER
3	5	4.58333333333333	73.6458333333333	1.61818181818182	0.3	MODERATE	WINTER
2	5	5.77755102040816	74.9795918367347	2.38163265306122	1.3	MODERATE	WINTER
3	5	4.5375	87.5	0.820833333333333	7.2	MODERATE	WINTER
3	1	3.54130434782609	87.0652173913043	0.215217391304348	0	MODERATE	WINTER
3	5	5.75714285714286	79.2040816326531	1.2530612244898	0	MODERATE	WINTER
3	5	6.18775510204082	75.9795918367347	1.24791666666667	0	MODERATE	WINTER
3	5	3.88510638297872	81.6382978723404	0.360416666666667	0	MODERATE	WINTER
3	1	4.40816326530612	73.9795918367347	0.269565217391304	0	MODERATE	WINTER
3	5	7.21428571428571	66.5918367346939	1.74489795918367	0	MODERATE	WINTER
3	5	4.78222222222222	77.9777777777778	1.7265306122449	0	MODERATE	WINTER
2	5	0.885714285714286	85.8571428571429	0.102040816326531	0	MODERATE	WINTER
2	1	5.23	69.5333333333333	0.210204081632653	0	MODERATE	WINTER
5	5	-3.5	91	0.295833333333333	0	MODERATE	WINTER
3	1	3.02666666666667	63.8	0.191836734693878	0	MODERATE	WINTER
3	5	6.15510204081633	67.6122448979592	1.73673469387755	0	MODERATE	WINTER
5	4	5.44285714285714	86.8775510204082	0.820408163265306	2.6	MODERATE	WINTER
3	1	5.59183673469388	92.7551020408163	0.181632653061225	1.7	LOW	WINTER
3	1	2.43673469387755	88.3265306122449	0.181818181818182	0	MODERATE	WINTER
3	1	7.38163265306122	69.3265306122449	1.12040816326531	0.2	MODERATE	WINTER
5	5	2.03265306122449	88	0.2	3.1	MODERATE	WINTER
5	5	6.7	58.2244897959184	1.13877551020408	0	MODERATE	WINTER
4	5	6.81632653061224	64.9795918367347	1.52857142857143	0	MODERATE	WINTER
3	1	4.18979591836735	78.2040816326531	1.08775510204082	0	MODERATE	WINTER
3	3	2.46458333333333	94.0833333333333	0.281632653061224	4.7	LOW	WINTER
7	3	-0.410204081632653	83.6326530612245	0.33469387755102	0.5	MODERATE	WINTER
6	3	-0.945833333333333	93.0416666666667	0.118367346938776	31.1	LOW	WINTER
6	1	0.43265306122449	95.2857142857143	0.114285714285714	37	LOW	WINTER
2	1	1.94285714285714	93.8775510204082	0.212244897959184	6.1	MODERATE	WINTER
2	2	1.00816326530612	91.9795918367347	0.402040816326531	0	MODERATE	WINTER
5	4	5.89791666666667	71.3125	2.58367346938775	2	MODERATE	WINTER
2	2	0.642857142857143	91.7551020408163	0.363265306122449	18.4	MODERATE	WINTER
6	3	-0.63469387755102	74.0204081632653	0.577551020408163	0	MODERATE	WINTER
6	5	4.95510204081633	66.530612244898	1.80816326530612	1.7	MODERATE	WINTER
1	2	-0.204081632653061	66.1836734693878	0.36530612244898	0.3	MODERATE	WINTER
5	5	5.39591836734694	56.3469387755102	2.6265306122449	0	MODERATE	WINTER
3	4	7.77551020408163	76.3469387755102	2.14897959183673	0	MODERATE	WINTER
2	4	9.24081632653061	73.9183673469388	2.19387755102041	0	MODERATE	WINTER
9	5	7.36122448979592	82.8775510204082	2.33061224489796	12.9	MODERATE	WINTER
3	5	5.09183673469388	89.4489795918367	1.24285714285714	5.3	MODERATE	WINTER
3	5	10.9857142857143	66.4489795918367	2.96326530612245	0	MODERATE	WINTER
3	2	3.61836734693878	91.3061224489796	0.408163265306122	0.3	LOW	WINTER
9	3	1.21224489795918	75.7142857142857	0.348979591836735	0	MODERATE	WINTER
6	1	4.85714285714286	77.5714285714286	0.214285714285714	0	MODERATE	WINTER
3	4	8.74285714285714	76.8775510204082	1.2265306122449	3.9	MODERATE	WINTER
2	1	7.59387755102041	70.5102040816327	1.57708333333333	0	MODERATE	WINTER
3	3	3.7	75.8163265306122	0.485714285714286	0	MODERATE	WINTER
4	1	6.76326530612245	65.5714285714286	0.285714285714286	0.1	MODERATE	WINTER
8	3	4.01632653061225	75.7142857142857	0.377551020408163	0	MODERATE	WINTER
4	3	2.24489795918367	63.8775510204082	0.479591836734694	0	MODERATE	WINTER
4	1	2.72244897959184	67.265306122449	0.383673469387755	0	MODERATE	WINTER
4	5	6.51224489795918	62	0.544897959183673	0	HIGH	WINTER
2	4	11.0551020408163	62.6938775510204	2.01224489795918	0	HIGH	WINTER
