TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	PM2.5	SEASON
8	2	1.22244897959184	98.5510204081633	0.275510204081633	29.3	6.8	WINTER
2	1	0.255102040816327	98.5918367346939	0.128571428571429	0.3	8.53	WINTER
7	3	0.340816326530612	98.3061224489796	0.322448979591837	0	10.25	WINTER
2	3	-0.453061224489796	91.4897959183673	1.00408163265306	3.9	8.62	WINTER
5	3	-0.844897959183673	93.8367346938775	0.189795918367347	5.1	6.8	WINTER
5	3	-0.0448979591836735	96.6734693877551	0.214285714285714	1.5	10.7	WINTER
5	3	-0.589795918367347	94.734693877551	0.540816326530612	0	17.14	WINTER
5	3	-2.17959183673469	89.2244897959184	0.948979591836735	0	18.05	WINTER
5	3	-9.03673469387755	84.5918367346939	0.373469387755102	0	19.42	WINTER
1	2	-9.50204081632653	81.7142857142857	0.204081632653061	0	14.6	WINTER
7	2	-5.60816326530612	83.1020408163265	0.189795918367347	0	9.98	WINTER
5	3	-1.99591836734694	82.8163265306122	0.438775510204082	0	27.67	WINTER
5	1	-5.80204081632653	84.265306122449	0.346938775510204	0	42.63	WINTER
2	5	1.41020408163265	91.3061224489796	2.08163265306122	15.9	7.35	WINTER
2	5	-0.0918367346938776	95.1836734693878	0.457142857142857	0	7.44	WINTER
2	2	-4.68979591836735	92.7755102040816	0.191836734693878	0	14.33	WINTER
2	1	1.59615384615385	70.4615384615385	0.741666666666667	0	11.88	WINTER
3	1	0.473684210526316	91.9473684210526	0.426315789473684	0.2	10.7	WINTER
9	3	-2.6575	81.475	1.47948717948718	0.1	18.32	WINTER
1	3	-10.85625	67.5	1.72708333333333	0.2	23.68	WINTER
1	3	-12.1571428571429	75.1836734693878	0.969387755102041	0	34.56	WINTER
1	3	-13.3224489795918	75.3673469387755	0.377551020408163	0	26.49	WINTER
5	3	-9.6	75.265306122449	0.457142857142857	0	49.26	WINTER
5	3	-5.77551020408163	76.1020408163265	0.430612244897959	0.3	63.86	WINTER
5	1	-2.1	95.3469387755102	0.253061224489796	1	67.67	WINTER
5	3	0.661224489795918	91.1836734693878	0.285714285714286	0	76.65	WINTER
1	1	-0.230612244897959	88.3877551020408	0.408163265306122	0	96.81	WINTER
6	5	0.791836734693877	81.8163265306122	0.902040816326531	9.5	21.5	WINTER
7	1	-1.88979591836735	94.9795918367347	0.283673469387755	0	7.98	WINTER
7	1	-3.2	81.1428571428571	0.395918367346939	0	8.44	WINTER
9	2	-5.68163265306122	73.2040816326531	0.518367346938776	0	11.25	WINTER
9	1	-6.11836734693878	73.5510204081633	0.357142857142857	0.1	11.52	WINTER
9	1	-4.42448979591837	76.7755102040816	0.342857142857143	0	12.43	WINTER
7	1	-3.59795918367347	72.2244897959184	0.408163265306122	0.1	15.51	WINTER
5	4	2.47142857142857	88.7959183673469	1.80612244897959	4.9	11.16	WINTER
5	5	6.41020408163265	85.6632653061225	1.99583333333333	12.8	3.17	WINTER
